depth,call_time(us)
0,0.20889043807983398
1,0.3137493133544922
2,0.46317100524902344
3,0.6161308288574219
4,0.7601594924926758
5,0.8909320831298828
6,1.0118913650512695
7,1.1455011367797852
8,1.3002300262451172
9,1.4143705368041992
