depth,call_time(us)
0,0.4484987258911133
1,0.5673122406005859
2,0.6880307197570801
3,0.803229808807373
4,0.9298110008239746
5,1.0472774505615234
6,1.1741375923156738
7,1.274869441986084
8,1.3754892349243164
9,1.4864897727966309
